domain,size,count_fetched,count_errors,count_total,num_childs,time_elapsed in sec,avg fetching time in sec,avg size in kB,error percentage
beatport.com,90298125,379,347,25115,0,1709.8,4.511345646437994,238253.62796833774,0.47796143250688705
clube.uol.com.br,22350587,345,46,391,0,376.662,1.0917739130434783,64784.310144927535,0.11764705882352941
palaisdetokyo.com,10293008,345,4,510,0,931.832,2.70096231884058,29834.80579710145,0.011461318051575931
cbbar.com.br,8780885,299,4,303,0,504.921,1.6886989966555184,29367.508361204014,0.013201320132013201
teatroalfa.com.br,37304953,277,478,755,0,1073.39,3.875054151624549,134674.92057761733,0.633112582781457
mz.usp.br,34369728,276,28,355,0,394.844,1.4305942028985508,124528.0,0.09210526315789473
nouvellesvagues.com,47674810,259,160,419,0,1147.71,4.431312741312741,184072.62548262547,0.3818615751789976
learning.linkedin.com,30553912,220,49,269,0,464.892,2.1131454545454544,138881.41818181818,0.1821561338289963
almanara.com.br,3618446,206,0,206,0,91.7026,0.4451582524271845,17565.271844660194,0.0
thomaslannette.com,517700,176,14,190,0,118.822,0.675125,2941.4772727272725,0.07368421052631578
cinemark.com.br,14866383,176,25,201,0,66.4507,0.37756079545454546,84468.08522727272,0.12437810945273632
spaweek.com.br,11238812,175,0,175,0,35.3329,0.20190228571428573,64221.782857142854,0.0
teatrofolha.com.br,9311052,169,0,169,0,188.45,1.1150887573964496,55094.98224852071,0.0
truks.com.br,3084444,157,66,414,0,94.8638,0.604228025477707,19646.140127388535,0.29596412556053814
jockeysp.com.br,7766332,155,36,443,0,110.336,0.7118451612903226,50105.367741935486,0.18848167539267016
verciencia.com.br,5797747,134,42,176,0,99.6333,0.7435320895522388,43266.76865671642,0.23863636363636365
americanas.com.br,79639185,129,609,8489,0,128.769,0.9982093023255815,617358.023255814,0.8252032520325203
copocheio.blogfolha.uol.com.br,20494997,126,94,220,0,138.728,1.101015873015873,162658.70634920636,0.42727272727272725
guia1.folha.com.br,13542866,125,377,502,0,440.258,3.522064,108342.928,0.750996015936255
congressoiberoamericano.com.br,38010029,117,39,156,0,130.692,1.1170256410256412,324872.04273504275,0.25
blog.phila7.com.br,1160319,109,2,111,0,65.7478,0.6031908256880734,10645.128440366972,0.018018018018018018
ciarodamoinho.com,2294466,108,1,109,0,200.889,1.8600833333333335,21245.055555555555,0.009174311926605505
viradaesportivasp.com.br,3632340,107,0,107,0,164.231,1.5348691588785046,33947.102803738315,0.0
youtu.be,51805852,95,0,97,0,72.7955,0.7662684210526316,545324.7578947368,0.0
teatrodedanca.org.br,5152091,88,0,88,0,226.74,2.576590909090909,58546.48863636364,0.0
ticketbrasil.com.br,1654861,84,0,84,0,39.2514,0.4672785714285714,19700.72619047619,0.0
teatroderuinas.blogspot.com,3057919,79,11,90,0,84.4807,1.0693759493670887,38707.83544303798,0.12222222222222222
pobrejuan.com.br,2058287,75,0,75,0,13.5309,0.18041200000000002,27443.826666666668,0.0
raimundos.com.br,3178266,65,8,73,0,71.5658,1.1010123076923077,48896.4,0.1095890410958904
polls.folha.com.br,1333455,58,119,177,0,33.8819,0.5841706896551725,22990.603448275862,0.672316384180791
taramcpherson.com,14751670,58,1,59,0,41.251,0.7112241379310345,254339.1379310345,0.01694915254237288
open.spotify.com,3300731,58,1,59,0,49.258,0.8492758620689655,56909.15517241379,0.01694915254237288
darkdimensions.com.br,1617446,54,0,54,0,71.1843,1.3182277777777776,29952.703703703704,0.0
livrariadaesquina.com.br,944093,52,1,53,0,32.185,0.6189423076923077,18155.634615384617,0.018867924528301886
ingressorapido.com.br,504994,49,7,56,0,45.2697,0.9238714285714286,10306.0,0.125
1900.com.br,912396,40,2,42,0,34.6153,0.8653824999999999,22809.9,0.047619047619047616
anifriends.com.br,871654,39,10,49,0,59.7802,1.5328256410256411,22350.102564102563,0.20408163265306123
filmeb.com.br,1923387,36,1,570,0,52.1159,1.447663888888889,53427.416666666664,0.02702702702702703
doceiraanabella.com.br,663499,32,47,79,0,302.087,9.44021875,20734.34375,0.5949367088607594
about.linkedin.com,2958070,27,4,31,0,49.4043,1.829788888888889,109558.14814814815,0.12903225806451613
t.co,9100,26,0,28,0,13.5998,0.5230692307692307,350.0,0.0
surfacetoair.com.br,726007,26,0,26,0,34.9242,1.3432384615384616,27923.346153846152,0.0
publifolha.folha.com.br,12008,25,0,25,0,7.36047,0.29441880000000004,480.32,0.0
originalburger.com.br,293323,24,0,24,0,3.00108,0.125045,12221.791666666666,0.0
skolsensation.com.br,643017,23,0,23,0,65.1101,2.8308739130434786,27957.260869565216,0.0
folha.uol.com.br,3154027,23,0,23,0,28.0985,1.2216739130434784,137131.60869565216,0.0
sweetbr.com.br,13666609,20,0,20,0,59.8453,2.992265,683330.45,0.0
galetos.com.br,595240,19,7,26,0,23.9494,1.2604947368421053,31328.42105263158,0.2692307692307692
rascal.com.br,1158294,19,45,64,0,155.005,8.158157894736842,60962.84210526316,0.703125
livepass.com.br,1234581,18,9,27,0,10.0969,0.5609388888888889,68587.83333333333,0.3333333333333333
bongrille.com.br,1006974,18,1,19,0,35.7098,1.9838777777777779,55943.0,0.05263157894736842
opassatempo.com.br,821490,18,0,18,0,83.4802,4.637788888888888,45638.333333333336,0.0
panificadoramarengo.com.br,447498,17,2,19,0,7.71115,0.4535970588235294,26323.41176470588,0.10526315789473684
premier.ticketsforfun.com.br,505293,17,0,17,0,102.954,6.056117647058823,29723.117647058825,0.0
brand.linkedin.com,2700454,16,2,18,0,30.5341,1.90838125,168778.375,0.1111111111111111
cinemubevitrine.com,444158,16,1,17,0,17.9906,1.1244125,27759.875,0.058823529411764705
mapadassensacoes.com.br,307634,15,0,15,0,17.3251,1.1550066666666665,20508.933333333334,0.0
prestissimo.com.br,1382684,15,0,15,0,19.1276,1.2751733333333335,92178.93333333333,0.0
brigadeirodoceria.com.br,7423961,14,0,14,0,26.5508,1.896485714285714,530282.9285714285,0.0
baixatudo.com.br,2149465,14,0,14,0,25.7206,1.8371857142857144,153533.2142857143,0.0
globo.com,4890697,13,4,17,0,7.43243,0.5717253846153846,376207.46153846156,0.23529411764705882
emporiosagarana.com.br,442352,13,0,13,0,6.78087,0.5216053846153846,34027.07692307692,0.0
lamarcebicheria.com,143064,13,0,13,0,100.39,7.722307692307693,11004.923076923076,0.0
mastercrews.com.br,4254284,12,0,12,0,23.2256,1.9354666666666667,354523.6666666667,0.0
caminhadanoturna.com.br,392901,12,0,12,0,5.07026,0.4225216666666667,32741.75,0.0
globotv.globo.com,2269324,11,7,18,0,9.47134,0.8610309090909091,206302.18181818182,0.3888888888888889
press.linkedin.com,1758494,11,6,17,0,57.1128,5.192072727272727,159863.0909090909,0.35294117647058826
brigaderia.com.br,570234,11,6,17,0,54.484,4.95309090909091,51839.454545454544,0.35294117647058826
developer.linkedin.com,529090,10,13,23,0,52.2391,5.22391,52909.0,0.5652173913043478
museuafrobrasil.com.br,193672,8,0,8,0,5.41024,0.67628,24209.0,0.0
hydrophobia-game.com,146260,8,35,43,0,8.12153,1.01519125,18282.5,0.813953488372093
musica.com.br,4229918,7,0,7,0,4.59728,0.6567542857142856,604274.0,0.0
operaganache.com.br,2608791,7,0,7,0,12.8247,1.8321,372684.4285714286,0.0
storage.mais.uol.com.br,1060620,6,0,6,0,3.65513,0.6091883333333333,176770.0,0.0
mobile.linkedin.com,488804,5,1,6,0,8.68397,1.7367940000000002,97760.8,0.16666666666666666
viafunchal.com.br,1540,5,0,5,0,2.84548,0.5690959999999999,308.0,0.0
hsbcarena.com.br,88136,5,0,5,0,4.09509,0.819018,17627.2,0.0
noitesdoterror.com.br,112398,4,1,5,0,1.61511,0.4037775,28099.5,0.2
ticketsforfun.com.br,70117,3,0,3,0,9.82496,3.274986666666667,23372.333333333332,0.0
barmooca.com.br,12032,3,0,3,0,3.15251,1.0508366666666666,4010.6666666666665,0.0
genuinochopp.com.br,268629,3,0,3,0,7.00567,2.3352233333333334,89543.0,0.0
market.android.com,1340004,2,0,2,0,2.57311,1.286555,670002.0,0.0
applebees.com.br,100948,2,0,2,0,3.26947,1.634735,50474.0,0.0
paneladeferronavila.blogspot.com,136542,2,0,2,0,3.66851,1.834255,68271.0,0.0
studiosp.org,39706,2,0,2,0,3.03803,1.519015,19853.0,0.0
nakato.com.br,11269,2,0,2,0,4.71717,2.358585,5634.5,0.0
torerovalese.com.br,738168,2,3,5,0,3.82283,1.911415,369084.0,0.6
www1.folha.com.br,124380,2,0,2,0,2.19921,1.099605,62190.0,0.0
trixmix.org,8216,2,0,2,0,1.85808,0.92904,4108.0,0.0
grupoglobo.globo.com,3636,2,0,2,0,1.13287,0.566435,1818.0,0.0
pessoacomdeficiencia.sp.gov.br,107393,2,26,28,0,16.3179,8.15895,53696.5,0.9285714285714286
